RAWX,RAWY,CCDNR,REV1,REV2
64,106,11,0,4149
64,107,11,0,4149
64,108,11,0,4149
64,109,11,0,4149
64,110,11,0,4149
64,111,11,0,4149
64,112,11,0,4149
64,113,11,0,4149
64,114,11,0,4149
64,115,11,0,4149
64,116,11,0,4149
64,117,11,0,4149
64,118,11,0,4149
64,119,11,0,4149
64,120,11,0,4149
64,121,11,0,4149
64,122,11,0,4149
64,123,11,0,4149
64,124,11,0,4149
64,125,11,0,4149
64,126,11,0,4149
64,127,11,0,4149
64,128,11,0,4149
64,129,11,0,4149
64,130,11,0,4149
64,131,11,0,4149
64,132,11,0,4149
64,133,11,0,4149
64,134,11,0,4149
64,135,11,0,4149
64,136,11,0,4149
64,137,11,0,4149
64,138,11,0,4149
64,139,11,0,4149
64,140,11,0,4149
64,141,11,0,4149
64,142,11,0,4149
64,143,11,0,4149
64,144,11,0,4149
64,145,11,0,4149
64,146,11,0,4149
64,147,11,0,4149
64,148,11,0,4149
64,149,11,0,4149
64,150,11,0,4149
64,151,11,0,4149
64,152,11,0,4149
64,153,11,0,4149
64,154,11,0,4149
64,155,11,0,4149
64,156,11,0,4149
64,157,11,0,4149
64,158,11,0,4149
64,159,11,0,4149
64,160,11,0,4149
64,161,11,0,4149
64,162,11,0,4149
64,163,11,0,4149
64,164,11,0,4149
64,165,11,0,4149
64,166,11,0,4149
64,167,11,0,4149
64,168,11,0,4149
64,169,11,0,4149
64,170,11,0,4149
64,171,11,0,4149
64,172,11,0,4149
64,173,11,0,4149
64,174,11,0,4149
64,175,11,0,4149
64,176,11,0,4149
64,177,11,0,4149
64,178,11,0,4149
64,179,11,0,4149
64,180,11,0,4149
64,181,11,0,4149
64,182,11,0,4149
64,183,11,0,4149
64,184,11,0,4149
64,185,11,0,4149
64,186,11,0,4149
64,187,11,0,4149
64,188,11,0,4149
64,189,11,0,4149
64,190,11,0,4149
64,191,11,0,4149
64,192,11,0,4149
64,193,11,0,4149
64,194,11,0,4149
64,195,11,0,4149
64,196,11,0,4149
64,197,11,0,4149
64,198,11,0,4149
64,199,11,0,4149
64,200,11,0,4149
64,201,11,0,4149
56,72,11,2679,10000
59,86,11,2413,10000
6,89,11,3548,10000
33,90,11,3060,10000
7,120,11,2967,10000
41,137,11,692,10000
18,138,11,0,10000
18,139,11,0,10000
18,140,11,0,10000
18,141,11,0,10000
18,142,11,0,10000
18,143,11,0,10000
18,144,11,0,10000
18,145,11,0,10000
18,146,11,0,10000
18,147,11,0,10000
18,148,11,0,10000
18,149,11,0,10000
18,150,11,0,10000
18,151,11,0,10000
18,152,11,0,10000
18,153,11,0,10000
