RAWX,RAWY,CCDNR,REV1,REV2
579,584,1,1130,4110
579,585,1,1130,4110
579,586,1,1130,4110
579,587,1,1130,4110
579,588,1,1130,4110
579,589,1,1130,4110
579,590,1,1130,4110
579,591,1,1130,4110
579,592,1,1130,4110
579,593,1,1130,4110
579,594,1,1130,4110
579,595,1,1130,4110
579,596,1,1130,4110
579,597,1,1130,4110
579,598,1,1130,4110
579,599,1,1130,4110
580,405,1,1130,4110
580,406,1,1130,4110
580,407,1,1130,4110
580,408,1,1130,4110
580,409,1,1130,4110
580,410,1,1130,4110
580,411,1,1130,4110
580,412,1,1130,4110
580,413,1,1130,4110
580,414,1,1130,4110
580,415,1,1130,4110
580,416,1,1130,4110
580,417,1,1130,4110
580,418,1,1130,4110
580,419,1,1130,4110
580,420,1,1130,4110
580,421,1,1130,4110
580,422,1,1130,4110
580,423,1,1130,4110
580,424,1,1130,4110
580,425,1,1130,4110
580,426,1,1130,4110
580,427,1,1130,4110
580,428,1,1130,4110
580,429,1,1130,4110
580,430,1,1130,4110
580,431,1,1130,4110
580,432,1,1130,4110
580,433,1,1130,4110
580,434,1,1130,4110
580,435,1,1130,4110
580,436,1,1130,4110
580,437,1,1130,4110
580,438,1,1130,4110
580,439,1,1130,4110
580,440,1,1130,4110
580,441,1,1130,4110
580,442,1,1130,4110
580,443,1,1130,4110
580,444,1,1130,4110
580,445,1,1130,4110
580,446,1,1130,4110
580,447,1,1130,4110
580,448,1,1130,4110
580,449,1,1130,4110
580,450,1,1130,4110
580,451,1,1130,4110
580,452,1,1130,4110
580,453,1,1130,4110
580,454,1,1130,4110
580,455,1,1130,4110
580,456,1,1130,4110
580,457,1,1130,4110
580,458,1,1130,4110
580,459,1,1130,4110
580,460,1,1130,4110
580,461,1,1130,4110
580,462,1,1130,4110
580,463,1,1130,4110
580,464,1,1130,4110
580,465,1,1130,4110
580,466,1,1130,4110
580,467,1,1130,4110
580,468,1,1130,4110
580,469,1,1130,4110
580,470,1,1130,4110
580,471,1,1130,4110
580,472,1,1130,4110
580,473,1,1130,4110
580,474,1,1130,4110
580,475,1,1130,4110
580,476,1,1130,4110
580,477,1,1130,4110
580,478,1,1130,4110
580,479,1,1130,4110
580,480,1,1130,4110
580,481,1,1130,4110
580,482,1,1130,4110
580,483,1,1130,4110
580,484,1,1130,4110
580,485,1,1130,4110
580,486,1,1130,4110
580,487,1,1130,4110
580,488,1,1130,4110
580,489,1,1130,4110
580,490,1,1130,4110
580,491,1,1130,4110
580,492,1,1130,4110
580,493,1,1130,4110
580,494,1,1130,4110
580,495,1,1130,4110
580,496,1,1130,4110
580,497,1,1130,4110
580,498,1,1130,4110
580,499,1,1130,4110
580,500,1,1130,4110
580,501,1,1130,4110
580,502,1,1130,4110
580,503,1,1130,4110
580,504,1,1130,4110
580,505,1,1130,4110
580,506,1,1130,4110
580,507,1,1130,4110
580,508,1,1130,4110
580,509,1,1130,4110
580,510,1,1130,4110
580,511,1,1130,4110
580,512,1,1130,4110
580,513,1,1130,4110
580,514,1,1130,4110
580,515,1,1130,4110
580,516,1,1130,4110
580,517,1,1130,4110
580,518,1,1130,4110
580,519,1,1130,4110
580,520,1,1130,4110
580,521,1,1130,4110
580,522,1,1130,4110
580,523,1,1130,4110
580,524,1,1130,4110
580,525,1,1130,4110
580,526,1,1130,4110
580,527,1,1130,4110
580,528,1,1130,4110
580,529,1,1130,4110
580,530,1,1130,4110
580,531,1,1130,4110
580,532,1,1130,4110
580,533,1,1130,4110
580,534,1,1130,4110
580,535,1,1130,4110
580,536,1,1130,4110
580,537,1,1130,4110
580,538,1,1130,4110
580,539,1,1130,4110
580,540,1,1130,4110
580,541,1,1130,4110
580,542,1,1130,4110
580,543,1,1130,4110
580,544,1,1130,4110
580,545,1,1130,4110
580,546,1,1130,4110
580,547,1,1130,4110
580,548,1,1130,4110
580,549,1,1130,4110
580,550,1,1130,4110
580,551,1,1130,4110
580,552,1,1130,4110
580,553,1,1130,4110
580,554,1,1130,4110
580,555,1,1130,4110
580,556,1,1130,4110
580,557,1,1130,4110
580,558,1,1130,4110
580,559,1,1130,4110
580,560,1,1130,4110
580,561,1,1130,4110
580,562,1,1130,4110
580,563,1,1130,4110
580,564,1,1130,4110
580,565,1,1130,4110
580,566,1,1130,4110
580,567,1,1130,4110
580,568,1,1130,4110
580,569,1,1130,4110
580,570,1,1130,4110
580,571,1,1130,4110
580,572,1,1130,4110
580,573,1,1130,4110
580,574,1,1130,4110
580,575,1,1130,4110
580,576,1,1130,4110
580,577,1,1130,4110
580,578,1,1130,4110
580,579,1,1130,4110
580,580,1,1130,4110
580,581,1,1130,4110
580,582,1,1130,4110
580,583,1,1130,4110
580,584,1,1130,4110
580,585,1,1130,4110
580,586,1,1130,4110
580,587,1,1130,4110
580,588,1,1130,4110
580,589,1,1130,4110
580,590,1,1130,4110
580,591,1,1130,4110
580,592,1,1130,4110
580,593,1,1130,4110
580,594,1,1130,4110
580,595,1,1130,4110
580,596,1,1130,4110
580,597,1,1130,4110
580,598,1,1130,4110
580,599,1,1130,4110
581,405,1,1130,4110
581,406,1,1130,4110
581,407,1,1130,4110
581,408,1,1130,4110
581,409,1,1130,4110
581,410,1,1130,4110
581,411,1,1130,4110
581,412,1,1130,4110
581,413,1,1130,4110
581,414,1,1130,4110
581,415,1,1130,4110
581,416,1,1130,4110
581,417,1,1130,4110
581,418,1,1130,4110
581,419,1,1130,4110
581,420,1,1130,4110
581,421,1,1130,4110
581,422,1,1130,4110
581,423,1,1130,4110
581,424,1,1130,4110
581,425,1,1130,4110
581,426,1,1130,4110
581,427,1,1130,4110
581,428,1,1130,4110
581,429,1,1130,4110
581,430,1,1130,4110
581,431,1,1130,4110
581,432,1,1130,4110
581,433,1,1130,4110
581,434,1,1130,4110
581,435,1,1130,4110
581,436,1,1130,4110
581,437,1,1130,4110
581,438,1,1130,4110
581,439,1,1130,4110
581,440,1,1130,4110
581,441,1,1130,4110
581,442,1,1130,4110
581,443,1,1130,4110
581,444,1,1130,4110
581,445,1,1130,4110
581,446,1,1130,4110
581,447,1,1130,4110
581,448,1,1130,4110
581,449,1,1130,4110
581,450,1,1130,4110
581,451,1,1130,4110
581,452,1,1130,4110
581,453,1,1130,4110
581,454,1,1130,4110
581,455,1,1130,4110
581,456,1,1130,4110
581,457,1,1130,4110
581,458,1,1130,4110
581,459,1,1130,4110
581,460,1,1130,4110
581,461,1,1130,4110
581,462,1,1130,4110
581,463,1,1130,4110
581,464,1,1130,4110
581,465,1,1130,4110
581,466,1,1130,4110
581,467,1,1130,4110
581,468,1,1130,4110
581,469,1,1130,4110
581,470,1,1130,4110
581,471,1,1130,4110
581,472,1,1130,4110
581,473,1,1130,4110
581,474,1,1130,4110
581,475,1,1130,4110
581,476,1,1130,4110
581,477,1,1130,4110
581,478,1,1130,4110
581,479,1,1130,4110
581,480,1,1130,4110
581,481,1,1130,4110
581,482,1,1130,4110
581,483,1,1130,4110
581,484,1,1130,4110
581,485,1,1130,4110
581,486,1,1130,4110
581,487,1,1130,4110
581,488,1,1130,4110
581,489,1,1130,4110
581,490,1,1130,4110
581,491,1,1130,4110
581,492,1,1130,4110
581,493,1,1130,4110
581,494,1,1130,4110
581,495,1,1130,4110
581,496,1,1130,4110
581,497,1,1130,4110
581,498,1,1130,4110
581,499,1,1130,4110
581,500,1,1130,4110
581,501,1,1130,4110
581,502,1,1130,4110
581,503,1,1130,4110
581,504,1,1130,4110
581,505,1,1130,4110
581,506,1,1130,4110
581,507,1,1130,4110
581,508,1,1130,4110
581,509,1,1130,4110
581,510,1,1130,4110
581,511,1,1130,4110
581,512,1,1130,4110
581,513,1,1130,4110
581,514,1,1130,4110
581,515,1,1130,4110
581,516,1,1130,4110
581,517,1,1130,4110
581,518,1,1130,4110
581,519,1,1130,4110
581,520,1,1130,4110
581,521,1,1130,4110
581,522,1,1130,4110
581,523,1,1130,4110
581,524,1,1130,4110
581,525,1,1130,4110
581,526,1,1130,4110
581,527,1,1130,4110
581,528,1,1130,4110
581,529,1,1130,4110
581,530,1,1130,4110
581,531,1,1130,4110
581,532,1,1130,4110
581,533,1,1130,4110
581,534,1,1130,4110
581,535,1,1130,4110
581,536,1,1130,4110
581,537,1,1130,4110
581,538,1,1130,4110
581,539,1,1130,4110
581,540,1,1130,4110
581,541,1,1130,4110
581,542,1,1130,4110
581,543,1,1130,4110
581,544,1,1130,4110
581,545,1,1130,4110
581,546,1,1130,4110
581,547,1,1130,4110
581,548,1,1130,4110
581,549,1,1130,4110
581,550,1,1130,4110
581,551,1,1130,4110
581,552,1,1130,4110
581,553,1,1130,4110
581,554,1,1130,4110
581,555,1,1130,4110
581,556,1,1130,4110
581,557,1,1130,4110
581,558,1,1130,4110
581,559,1,1130,4110
581,560,1,1130,4110
581,561,1,1130,4110
581,562,1,1130,4110
581,563,1,1130,4110
581,564,1,1130,4110
581,565,1,1130,4110
581,566,1,1130,4110
581,567,1,1130,4110
581,568,1,1130,4110
581,569,1,1130,4110
581,570,1,1130,4110
581,571,1,1130,4110
581,572,1,1130,4110
581,573,1,1130,4110
581,574,1,1130,4110
581,575,1,1130,4110
581,576,1,1130,4110
581,577,1,1130,4110
581,578,1,1130,4110
581,579,1,1130,4110
581,580,1,1130,4110
581,581,1,1130,4110
581,582,1,1130,4110
581,583,1,1130,4110
581,584,1,1130,4110
581,585,1,1130,4110
581,586,1,1130,4110
581,587,1,1130,4110
581,588,1,1130,4110
581,589,1,1130,4110
581,590,1,1130,4110
581,591,1,1130,4110
581,592,1,1130,4110
581,593,1,1130,4110
581,594,1,1130,4110
581,595,1,1130,4110
581,596,1,1130,4110
581,597,1,1130,4110
581,598,1,1130,4110
581,599,1,1130,4110
582,405,1,1130,4110
582,406,1,1130,4110
582,407,1,1130,4110
582,408,1,1130,4110
582,409,1,1130,4110
582,410,1,1130,4110
582,411,1,1130,4110
582,412,1,1130,4110
582,413,1,1130,4110
582,414,1,1130,4110
582,415,1,1130,4110
582,416,1,1130,4110
582,417,1,1130,4110
582,418,1,1130,4110
